"first_name","last_name","birth_date"
"theo","greene",1995-12-26
"miles","brussino",1993-02-01
"ayres","bortolani",1969-01-20
"kadoshnikov","christmas",1993-08-10
"rashawn","de",1989-08-30
"damian","roll",1982-12-09
"kurucs","humphrey",1990-08-20
"adams","dejean-jones",1993-12-23
"micov","elie",1984-06-04
"youssou","mercer",1986-01-01
"sakho","benjamin",1990-04-22
"pascolo","palsson",1984-02-07
"mcadoo","black",1984-07-07
"zendon","rivero",1994-11-01
"aldemir","kalaitzakis",1988-06-16
"fedor","sy",1994-12-13
"gabas","mihm",1995-11-02
"laquintana","wooten",1986-02-24
"nedovic","maxey",1997-02-03
"demarre","caloiaro",1995-06-13
"zivanovic","pangos",2000-01-16
"vuk","niang",1990-03-02
"vashil","emchenko",1991-09-17
"zaytsev","bhullar",2000-03-21
"ndiaye","michineau",1995-12-29
"mehmet","cook",1987-01-16
"pittman","pierre",1996-10-06
"vinny","hines",1995-02-18
"poska","salin",1981-03-13
"dequan","brnovic",1992-12-26
"mottola","omot",1989-01-18
"strawberry","hite",1985-01-31
"rafael","selby",2001-01-20
"valiev","gordic",2001-04-02
"capela","ezeli",1996-04-12
"dowdell","uzoh",1990-03-07
"hiram","harden",1996-10-18
"devaughn","schrempf",1994-04-10
"omer can","vujacic",1987-07-30
"sosa","puerto",1982-10-05
"arnett","marble",1988-05-05
"edo","beliauskas",1989-04-19
"alexis","macura",1980-08-02
"sahar","beiran",1996-10-24
"tamar","szczerbiak",1970-10-02
"olumide","sergeev",1986-04-18
"powell","kuzminskas",1991-05-07
"per","bayless",1992-07-11
"siva","jean-charles",1994-02-25
"al","garuba",1982-07-10
"markieff","kidd-gilchrist",1991-10-11
"donkor","borchardt",1989-06-17
"patrick","gabriel",1995-10-18
"miller","wojciechowski",1988-12-28
"calderon","laquintana",1992-10-17
"harris","melton",1980-03-22
"milt","hansen",1980-04-30
"khalifa","torres",1984-10-21
"collin","cannady",2002-09-07
"vlade","sharma",1992-06-30
"elton","bagaric",1979-10-01
"fab","zakharov",1979-07-08
"norvel","donda",1999-12-17
"ike","maronka",1982-12-04
"ed","czyz",1997-01-02
"mantzoukas","shittu",1986-06-10
"eddy","sakho",2001-01-02
"khalid","madsen",1992-10-17
"fletcher","kravic",1984-01-30
"vitali","wes",1993-06-15
"tolga","konate",2000-11-22
"grant","joe",1985-02-22
"simmons","felder",1979-07-12
"armoni","mcdermott",1994-09-14
"marcelo","mccalebb",1990-01-07
"valerio","kraag",1989-05-14
"mcclintock","magloire",1987-05-13
"artest","whaley",1999-04-03
"hite","bochoridis",2002-10-29
"satoransky","jack",1982-04-11
"splitter","jerrett",1980-03-05
"washington","penberthy",1979-08-22
"immanuel","kuzma",1990-11-23
"jameer","fevrier",1995-10-02
"thaddeus","teodosic",1989-03-06
"dary-sagnes","blue",2000-12-10
"caicedo","handlogten",1998-02-12
"hamed","gates",1991-10-29
"kleiza","maric",1996-03-15
"ondrej","randle",1992-08-26
"giampaolo","taylor",1985-12-24
"clarke","cross",1993-03-13
"doncic","mathiang",1981-11-26
"chappell","kukoc",1994-07-28
